page_no|page_text|gloss_thing
94b| сотона ср҃це твое сълъгати д҃хѹ ст҃ѹмѹ и ѹтаити отъ цѣнꙑ села• И приводить• не сълъга чл҃кмъ нъ б҃ѹ• И иꙗковъ• ꙁане ꙁавистъ горъкѹ иматѥ въ ср҃дцихъ вашихъ• ни хвалите сѧ и не лъжите на истинѹ• Г҃ъ же о антихръстѣ егда гл҃еть рече лъжѫ• отъ своихъ г҃леть• ꙁане лъжъ есть ꙗкоже + оц҃ь его• слꙑшавъше ѹбо въꙁлюбении• ꙁълъи порокъ диѧволѧ лъжѧ• вьсѣмь тьштаниемь бѣжимъ отъ него• и притьцѣмъ къ истинѣ• ѥже есть х҃ъ истиньнꙑи ++|+ и     ++ ѥси тꙑ г҃и
94c| намъ б҃ъ емѹже слава въ вѣкꙑ вѣкомъ АМИН м҃в ⁘ Ꙍ ТЪЩЕСЛАВИИ ⁘ ⁘ РЕКЪШЕ Ꙍ ВЕЛИЧАНИИ ,,, — ,,, — Тъштеславьнъи ꙗвѧѥть• ꙗко прилежить б҃омръꙁъцѣи славѣ• въ сластъ бо ловить похваленьи чл҃чи• и тѣми сꙑтить сѧ паче множъства брашьннааго• таковꙑи• и ꙗко чл҃коѹгодьникъ|
94d| осѫждѥнъ бѹдеть• имьжѥ любить славѫ чл҃чѫ пачѥ славꙑ бж҃ьѧ• По благовѣстьникѹ иоаннѹ• нъ ꙗкожѥ ꙁа скрьби благаа чл҃комъ ѹготовашѧ сѧ• тако и ꙁълаа ꙁа тъштеславиѥ сласть• корень бо срамьнꙑꙗ похоти• чл҃вча хвала есть• не и егда слꙑшимъ нъ и ѥгда приѥмлемъ сластьнѣ• величаниѥ бо и сласть• вина ѥсть вьсеи ꙁьли• Врѣдъ сь тьштеславиꙗ• ꙁѣло многоꙁрачънъ есть а не тьнъкъ• и не въ скорѣ• ні самѣмъ напастьнѹѥмꙑимъ|
95a| постиꙁаѥмъ• при инѣхъ бо врѣдѣхъ• прилоꙁі ꙗвѣ лѹчаѫть сѧ• и д҃ша ѹдобь поꙁнаваѥть сѫштѫю къ нимъ брань• и мольбоѫ въꙁдражаѥть ѫ• а тъштеславьнаꙗ ꙁъль• ꙗко сѫшти раꙁличьна• жестопобѣдьна бꙑваѥть• въ вьсе бо начинаниѥ пристаѥть• въ обраꙁѣ жѥ и ꙁрацѣ• и въ хождении и гласѣ• и въ словѣ• и млъчании• и въ дѣлѣ• и въ бъдѣнии• и въ пощении• и въ мольбѣ• и въ чьтеньи• и въ|
95b| беꙁмлъвьи• и въ длъготръпьи• сими вьсѣми• начънеть бж҃ьꙗаго чл҃ка състрѣлѧти• егда бо не въꙁможѥть многоцѣннꙑ одѣньи• и къ тъштеславиѫ прѣльстити• хѹдꙑими начьнѥть окѹшати и ѥгоже нѥ въꙁможе чьстиѫ въꙁѧти• сего трьпѣниѥмь бечьстиꙗ въ беꙁѹмие вьꙁеметь• и егожѥ не можѥ ѹвѣштати хꙑтрости словесъ величати сѧ: сего млъчаниемь ꙗко млъчалива рекѹште|
95c| обльштаѥть• и ѥгоже + многꙑими брашьнꙑ ослабити• сего поштениемь къ хвалѣ раслабить• и просто вьсе начинание винѹ даеть брани лѹкавѹмѹ семѹ бѣсѹ• Прочее же обрѧштеть сѧ величавъи чръньць• ꙗко дѣлатель беꙁ мъꙁдꙑ• трѹдꙑ бо подаꙗ и мьꙁдꙑ не въꙁѧ• величание бо• погѫблѧеть мьꙁдꙑ добрꙑихъ дѣтѣльи• И ꙗкоже каменно връжение не доидеть нб҃се• тако и мл҃тва чл҃коѹгодьнича не въꙁидетъ|+ не може
95d| къ б҃ѹ• мѫдръи мѫжъ таить съкровиште и добродѣтѣльнѫѭ болѣꙁнь• раꙁѹмичьнъ чръньцъ• бъчелѣ подобить сѧ• иꙁвьнѹ носѧ цвѣтꙑ• а вънѹтрь сътꙑ дѣлаꙗ• не продаждь словесъ своихъ славѣ члв҃чи• ни бѹдѹштаꙗ славꙑ прѣдаждъ хѹдꙑꙗ дѣлѧ похвалꙑ• слава бо чл҃ча въ пръсть въселить сѧ• и слѹтие ѥꙗ ѹгасаѥть• добродѣтельнаꙗ же слава прѣбꙑваѥть въ вѣкъ• Мꙑ ѹбо любимици не дадимъ мѣста ꙗко врѣдѹ семѹ обладати|
96a| нами• боꙗште сѧ гл҃ѫштааго• б҃ъ расꙑпа кости чл҃коѹгодьникъ• Послѣдѹѫште же паче ап҃лскѹ словѹ• ръцѣмъ чистиноѫ• нꙑнѣ бо чл҃кꙑ прѣпираю• или б҃а• или иштѫ чл҃комъ ѹгаждати• аще бо и ѥдиначе бꙑмь бꙑлъ• И па҇ⷦ• тако гл҃емъ• не ꙗко чл҃комъ ѹгаждаѫште• нъ б҃ѹ искѹшаѫштѹмѹ ср҃ца наша• ни бо къгда рече• въ словеси ласканиꙗ бꙑхомъ къ вамъ ꙗкоже вѣсте• ни винѣ лихоиманиꙗ• б҃ъ съвѣдѣтель• ни|
96b| иштѫште отъ чл҃къ славꙑ• не съставѧꙗи бо себе• самъ тъ есть искѹшенъ нъ ѥгоже б҃ъ съставилъ• Ꙗкоже рече блаженаꙗ анна самоилѧ мати• да не хвалить сѧ мѹдрꙑи мѫдростиѫ своѥѫ• и сильнꙑи силою своѥѫ и богатꙑ и богатьствомь своимь• нъ ѥже раꙁѹмѣвати и творити сѫдъ и правьдѹ• Цр҃ъ же еꙁекиа славꙑ чл҃ча ловѧ и обрадованиемь дръжимъ• покаꙁа халъдѣемъ богатьство своѥ• И посъла г҃ъ|
96c| исаиѫ гл҃ѧ къ немѹ: сѥ дьньѥ придѹть• и въꙁѧто бѫдеть вьсе ѥже видѣшѧ• въ вавулонъ• ꙗкоже и при насъ бꙑсть нꙑнѣ• ѹтлъстѣхомъ бо и отъвръгохомъ сѧ• и прѣдасть г҃ъ крѣпость нашѫ• чъстьнꙑи свои кръстъ халдѣѥмъ• и ст҃аа нашѧ опѹстѣшѧ• Добрѣ ѹбо притъчьникъ гл҃еть• лѹче мѫжь въ бечьстии + работаꙗ• неже иже чъсть себѣ• облагаѥть• и нѥ имꙑ хлѣба• И па҇ⷦ• да хвалить сѧ искрънии а не твоꙗ|+ себѣ
96d| ѹста• тѹждъ а не твои ѹстьнѣ• Пѣснивъцъ жѥ• б҃ъ расꙑпа кости чл҃коѹгодьникъ• постꙑдѣшѧ сѧ ꙗко б҃ъ ѹничъжи ꙗ• И ап҃лъ• чъто бо имаши ѥгоже нѣси приꙗлъ• аште ли и приꙗлъ ѥси• чъто сѧ хвалиши ꙗко не приимъ• И критѣнемъ• не прѣдъ очима работаѫште ꙗко чл҃коѹгодъници• нъ ѥже аште творите• отъ дш҃а творите ꙗко г҃ю а не чл҃кѹ работаѫште• лютъ ѹбо ѥсть ꙗкоже рече сѧ тъштеславьнъ врѣдъ• и вь вьсѧ|
97a| добродѣаниꙗ• ꙗже творить чл҃къ вълагаѥт ѥꙗ• и тъштить прокѹдити плодꙑ чрънориꙁъчѧ• и гореѥ• ꙗко о-нѣхъ врѣдѣхъ• любодѣании рекѹ• и гнѣвѣ• скръбимъ ѹбо и плачемъ• и молимъ сѧ проштени бꙑти• а при тъштеславии• ни болимъ ни печальнѹѥмъ• ни б҃а молимъ свободъ бꙑти отъ него• Въꙁненавидимъ ѹбо братиѥ• съвръшеноѫ ненавистиѭ тьштеславънъи врѣдъ•|
97b| да не погѹбимъ трѹдъ своихъ• хв҃ааго бо работаниꙗ• и вѣръ ꙗже къ б҃ѹ оставѧѥть чл҃ка ꙗкоже рече г҃ъ• како можете вѣровати въ мѧ славѫ отъ чл҃къ приѥмлюште• и славꙑ ꙗже отъ ѥдинааго б҃а не иштете: ѥмѹ слава въ вѣкꙑ вѣкомъ АМИН м҃г ⁘ О ПРѢꙀЬРѢНИИ ⁘ Прѣꙁорьнаꙗ ѧꙁѧ• горьши есть вьсѣхъ|
97c| ѧꙁь• и б҃мъ нѥнавидима ꙁѣло• и не спѣшъно вьсѣмъ чл҃комъ• Нъ самомѹ тъчиѫ ѥдиномѹ врагѹ диꙗволѹ: противѫ ꙁълобѣ ѥго: съпадъшюмѹ съ н҃бсѥ: прѣꙁориѧ дѣлъма: Похваливьи сꙗ и гл҃ѧ: и поставлѫ прѣстолъ свои на ꙁвѣꙁдахъ нб҃съныихь: обрѣте сꙗ мѣста нѥ имꙑ покоина: нь ꙗко плѣньникь вьсѫдѹ обличаемъ ѥсть: Сь грьдостьнꙑи бѣсь: лющьи вьсѣхь страстии сꙑ: ꙁѣло сѹщѧꙗ вь спѣсѣ|
97d| бореть• и начинаеть раꙁарѧти• И ꙗкоже ѧꙁѧ гѹбительна и тьлѥтворъна: нѥ ѥдиного ѹда тѣлесьна: нь вьсѥ растьлить• и инꙑ же страсти отъ части омрачаѫть дш҃ѹ• или съмѹштають ѫ• а прѣꙁорьливъи врѣдъ• вьсѫ помрачить• и въ велико падение ниꙁъведеть• дш҃ѧ бо прѣꙁоривааго• на вꙑсотѫ великѹ въсходить• И отътѹдѹ сѧ въ глѫбинѫ въмештеть• ꙗкоже бо тѧгота ниꙁълагае вѣѭ|
98a| плодовитѫ• тако величаниѥ д҃шѫ добро + плодъ иꙁгнилъ не трѣбѣ дѣлателю• тако дѣтѣль величавааго• не потрѣбьна б҃ѹ• Не даждъ величаниѫ своеꙗ дш҃ѧ• и не ѹвидиши привидѣнии страшънъ• дш҃а бо прѣꙁоривааго оставлѧѥма есть б҃мь• и бꙑваеть обрадование бѣсомъ• величавъ чл҃къ• дрѣво бесплодьно и бескоренно• и не сътрьпить николиже прилога вѣтрьна• и ꙗкоже гворьци просѣдаѫште погꙑбаѫть• тако величавааго|+ дѣтельнѫю ниꙁъмететь• ї ѧкоже
98b| памѧ҇ⷮ• по съмръти погꙑбнеть• И ꙗкоже мл҃тва съмѣренааго ѹмалѧеть б҃а• Тако раꙁдраждаеть б҃а мольба гръдааго• И елико величаниѥмь прѣꙁьрѧть братиѫ• Диꙗволѹ ретѧть сѧ• не ѥстьственаа бо есть гръдꙑни• нъ подобиѥ прѣꙁоривааго бѣса• ꙗкоже съвѣдѣтелюѫть кънигꙑ• рекошѧ бо• не съꙁьдана бꙑсть чл҃комъ гръдъни• И па҇ⷦ• прѣстолъ кънѧꙁь• гръдъихъ раꙁори г҃ъ• начало бо прѣꙁорьꙗ чл҃кѹ отъстѫпити отъ г҃а• ꙗко|
98c| начатъкъ грѣха гръдꙑни и дрьжаи ѫ• источить мрьꙁость• и раꙁорить сѧ + коньца• И въ ꙁаконѣ ѱано есть• и рече г҃ъ• дш҃а ꙗже створи рѹкоѭ гръдость• истьреть сѧ отъ людьи• И въ исаии• и погѹблѫ вьсѧ гръдꙑѧ• и пѣснопѣвьць• сего ради ѹдръжа ꙗ гръдꙑни• ꙗко одѣша сѧ неправьдоѭ и нечьстиѫ своѥѫ• и сконьчаша сѧ погꙑбошѧ ꙁа неꙁакониѥ своѥ• и гръдꙑни ненавидѧштиихъ тѧ въꙁиде|+ до
98d| въинѫ• тѣмьже вьсѣмь тъштаниѥмь хотѧть ст҃илишта твоꙗ раꙁорити• и ст҃аа твоѧ опѹстити• Нъ въꙁдвигни рѹцѣ твои на гръдꙑнѧ ихъ до коньца• ꙗко да постꙑдѧть сѧ гръдии• ꙁане бес правьдꙑ беꙁаконьновашѧ• на мѧ• Присно бо гръдии• ꙗкоже и вь пѹстꙑни оц҃и ихъ беꙁаконноваахѹ до ꙁѣла• рабъ же твои дв҃дъ отъ ꙁакона твоего не ѹклони сѧ• ни гръдомь окомь и несꙑтомь ср҃дце|
99a| мь съ ними не ꙗдѣаше• ни отънѫдъ живѧаше посрѣдѣ домѹ ѥго мꙑсль творѧшти гръдꙑнѫ• И притьчьникъ• страхъ г҃нъ ненавидить ꙁълобꙑ• досаждениꙗ же и гръдꙑн + пѫтьи ꙁълъ• и приричеть• ельма велии еси• тольма съмѣраи сѧ• и обрѧшти блг҃дть прѣдъ г҃мъ: и не въꙁвꙑшаи себе да сѧ не падеши• ꙁане мръꙁость прѣдъ г҃мъ и чл҃кꙑ въсъ гръдъ• И иꙗковъ• гръдꙑимъ г҃ъ противить сѧ• съмѣренꙑимъ|+ и
